topic;iterazioni;word;beta;Train;Test;id
30;200;20;0.1;0.47702765;0.32521436;1
3;200;10;0.5;0.46039906;0.32058805;2
5;200;20;0.01;0.45634955;0.32398525;3
10;200;30;0.1;0.4483462;0.24369082;4
10;200;30;0.01;0.4467129;0.31402215;5
3;200;10;0.02;0.44448695;0.37923205;6
30;200;30;0.01;0.4439363;0.24982865;7
3;200;20;0.5;0.43981218;0.31476012;8
3;200;15;0.1;0.43895468;0.29446498;9
3;200;30;0.01;0.43885165;0.2255965;10
2;200;15;0.5;0.43650466;0.4068981;11
5;200;30;0.01;0.43495303;0.23800738;12
3;200;30;0.5;0.4337309;0.2693727;13
3;200;15;0.01;0.4327889;0.3360494;14
3;200;10;0.01;0.43274808;0.34797046;15
2;200;10;0.05;0.43148226;0.40024424;16
5;200;30;0.1;0.4311964;0.26596236;17
3;200;20;0.01;0.430911;0.2044832;18
3;200;15;0.5;0.43086976;0.3144739;19
2;200;10;0.1;0.42994237;0.38214207;20
2;200;15;0.1;0.42988974;0.3310935;21
3;200;30;0.1;0.42785698;0.3007446;22
30;200;10;0.1;0.42588812;0.2562632;23
5;200;10;0.1;0.42517692;0.355671;24
3;200;10;0.1;0.42406183;0.3809339;25
30;200;30;0.1;0.42349213;0.36485797;26
3;200;15;0.02;0.4219273;0.3524576;27
30;200;10;0.01;0.42151895;0.3295203;28
10;200;20;0.01;0.42057985;0.358967;29
10;200;20;0.1;0.42057985;0.32976323;30
5;200;20;0.1;0.4204123;0.4133616;31
3;200;20;0.1;0.4202532;0.27564576;32
2;200;10;0.02;0.41721106;0.33173433;33
3;200;30;0.05;0.41543993;0.34267706;34
2;200;10;0.5;0.41486663;0.2919502;35
10;200;10;0.1;0.41361707;0.29895344;36
10;200;10;0.01;0.41322988;0.3774908;37
30;200;20;0.01;0.4131074;0.2307665;38
3;200;20;0.05;0.41277623;0.40308994;39
2;200;20;0.01;0.41030908;0.3253759;40
1;200;20;0.1;0.4099632;0.31549814;41
1;200;20;0.5;0.4099632;0.31468529;42
1;200;30;0.01;0.4099632;0.3496395;43
2;200;10;0.01;0.4087383;0.2915129;44
3;200;15;0.05;0.40608412;0.26762486;45
2;200;15;0.01;0.39934665;0.35867158;46
2;200;30;0.5;0.39759088;0.27110216;47
2;200;15;0.05;0.39694813;0.34169742;48
2;200;15;0.02;0.39593107;0.399262;49
1;200;30;0.02;0.39566642;0.26285407;50
1;200;10;0.05;0.3940384;0.26383764;51
3;200;30;0.02;0.39326257;0.29372695;52
2;200;20;0.05;0.39248672;0.38622212;53
2;200;30;0.02;0.3902817;0.27121767;54
1;200;15;0.5;0.38954678;0.4088561;55
1;200;20;0.01;0.38954678;0.42461166;56
1;200;20;0.02;0.38954678;0.40473795;57
1;200;10;0.5;0.3870968;0.2492377;58
1;200;15;0.01;0.3870968;0.19931847;59
1;200;10;0.1;0.38689265;0.24502108;60
2;200;20;0.1;0.38623923;0.42978948;61
3;200;20;0.02;0.38583073;0.3114391;62
2;200;20;0.02;0.3850551;0.3474347;63
2;200;20;0.5;0.3850551;0.3026145;64
2;200;30;0.01;0.3850551;0.38265684;65
1;200;30;0.05;0.37770516;0.4173432;66
1;200;30;0.1;0.37770516;0.304558;67
1;200;30;0.5;0.37770516;0.3400441;68
2;200;30;0.05;0.37770516;0.21623614;69
2;200;30;0.1;0.37770516;0.25157124;70
3;200;10;0.05;0.37581956;0.3909141;71
5;200;10;0.01;0.3592487;0.37269372;72
1;200;10;0.02;0.35585955;0.41328415;73
1;200;15;0.1;0.35352716;0.34732962;74
1;200;15;0.02;0.3491791;0.30405903;75
1;200;15;0.05;0.3485035;0.41041613;76
1;200;10;0.01;0.34708044;0.40184498;77
30;400;20;0.01;0.49836668;0.41328412;78
50;400;20;0.01;0.49285418;0.36531362;79
30;400;20;0.1;0.4863209;0.39409593;80
30;400;30;0.01;0.4863209;0.30885607;81
30;400;10;0.01;0.46993127;0.21516988;82
10;400;10;0.1;0.46521035;0.3271132;83
10;400;20;0.1;0.4633728;0.41328412;84
10;400;30;0.01;0.46059614;0.35552913;85
3;400;15;0.01;0.45724788;0.30435187;86
3;400;10;0.01;0.4550097;0.3433678;87
5;400;20;0.1;0.4507962;0.5166052;88
10;400;30;0.1;0.4489371;0.4365314;89
3;400;20;0.01;0.4485913;0.3341939;90
10;400;10;0.01;0.4483462;0.32788667;91
5;400;30;0.01;0.4450129;0.36900365;92
3;400;20;0.5;0.43994814;0.3422306;93
2;400;15;0.5;0.43854636;0.2846975;94
2;400;20;0.01;0.43854636;0.29718715;95
3;400;15;0.5;0.43667188;0.3800252;96
10;400;20;0.01;0.43446302;0.41328412;97
5;400;10;0.01;0.43304858;0.27952355;98
5;400;10;0.1;0.4316048;0.2811388;99
3;400;10;0.5;0.4315045;0.28556028;100
3;400;10;0.1;0.4255206;0.34059042;101
30;400;10;0.1;0.42439938;0.36316788;102
3;400;15;0.1;0.41788483;0.38634688;103
2;400;10;0.1;0.41567987;0.56826574;104
2;400;10;0.5;0.41567987;0.56826574;105
2;400;10;0.05;0.41476282;0.34015968;106
3;400;20;0.1;0.41426468;0.26708776;107
30;400;30;0.1;0.41393557;0.33579332;108
2;400;10;0.01;0.41322988;0.26897877;109
2;400;10;0.02;0.41322988;0.2633452;110
5;400;20;0.01;0.4122091;0.48376378;111
3;400;10;0.05;0.40927535;0.30774903;112
3;400;20;0.05;0.4092691;0.3339483;113
5;400;30;0.1;0.4091466;0.22509225;114
3;400;10;0.02;0.40907335;0.40599856;115
3;400;15;0.02;0.40882215;0.33542436;116
2;400;30;0.02;0.40753275;0.63394827;117
2;400;30;0.5;0.4075132;0.27306274;118
2;400;20;0.02;0.40747243;0.38302583;119
2;400;15;0.01;0.40563497;0.4461255;120
3;400;20;0.02;0.4044218;0.2738008;121
2;400;15;0.1;0.4014205;0.28404617;122
2;400;30;0.05;0.40057403;0.65682656;123
3;400;15;0.05;0.39905763;0.2611653;124
2;400;30;0.1;0.3981103;0.39446494;125
2;400;20;0.05;0.3850551;0.402214;126
2;400;15;0.02;0.37893015;0.40590405;127
2;400;15;0.05;0.37893015;0.40590405;128
1;400;10;0.01;0.37770516;0.3123649;129
1;400;20;0.02;0.37713352;0.57896674;130
2;400;20;0.1;0.37623876;0.3549815;131
1;400;20;0.05;0.37443855;0.65682656;132
1;400;20;0.1;0.37443855;0.65682656;133
1;400;20;0.5;0.37443855;0.65682656;134
1;400;10;0.02;0.36900777;0.29723576;135
1;400;30;0.01;0.364067;0.40590405;136
1;400;30;0.5;0.35688037;0.19409594;137
1;400;15;0.05;0.3429971;0.46494466;138
1;400;15;0.1;0.3429971;0.46494466;139
1;400;15;0.5;0.3429971;0.46494466;140
1;400;20;0.01;0.3429971;0.46494466;141
2;400;20;0.5;0.33483055;0.27675274;142
2;400;30;0.01;0.33483055;0.27675274;143
1;400;15;0.02;0.33344218;0.38671583;144
1;400;30;0.02;0.3327889;0.1586716;145
1;400;30;0.05;0.3327889;0.1586716;146
1;400;30;0.1;0.3327889;0.1586716;147
1;400;10;0.05;0.32707223;0.3616236;148
1;400;10;0.1;0.32707223;0.35793355;149
1;400;10;0.5;0.32707223;0.35793355;150
1;400;15;0.01;0.32707223;0.35793355;151
2;800;15;0.02;0.43446308;0.4501845;152
2;800;30;0.5;0.42940584;0.40738004;153
2;800;15;0.05;0.421274;0.42656833;154
2;800;15;0.01;0.42073402;0.40990138;155
2;800;10;0.1;0.42017144;0.30996317;156
2;800;10;0.5;0.41976315;0.26199266;157
2;800;30;0.1;0.41353124;0.2117372;158
1;800;30;0.01;0.4103716;0.15498157;159
1;800;30;0.02;0.4103716;0.15498157;160
2;800;10;0.05;0.4095549;0.43173432;161
2;800;10;0.01;0.40616575;0.27896678;162
2;800;15;0.5;0.4059208;0.30258304;163
2;800;20;0.1;0.40534908;0.17343174;164
2;800;20;0.5;0.4045733;0.3339483;165
2;800;10;0.02;0.4026541;0.43173432;166
2;800;30;0.01;0.39890546;0.34981552;167
1;800;30;0.05;0.3976317;0.17785978;168
2;800;20;0.05;0.39734584;0.14391145;169
2;800;15;0.1;0.3940384;0.43025836;170
2;800;20;0.01;0.39064923;0.2877743;171
2;800;30;0.05;0.38668782;0.24858113;172
1;800;10;0.1;0.38509598;0.26568267;173
2;800;20;0.02;0.38378936;0.13284133;174
1;800;10;0.01;0.37525517;0.26568267;175
1;800;10;0.02;0.37525517;0.26568267;176
1;800;10;0.05;0.37525517;0.26568267;177
1;800;15;0.05;0.36247447;0.35461253;178
2;800;30;0.02;0.3595124;0.24354243;179
1;800;10;0.5;0.35222545;0.3623616;180
1;800;15;0.01;0.3462638;0.35424355;181
1;800;15;0.02;0.3462638;0.35424355;182
1;800;20;0.5;0.3434055;0.42361623;183
1;800;30;0.1;0.32788894;0.22066422;184
1;800;30;0.5;0.321764;0.18819188;185
1;800;20;0.02;0.31910986;NaN;186
1;800;15;0.1;0.3070641;0.32619923;187
1;800;15;0.5;0.3070641;0.302583;188
1;800;20;0.01;0.3070641;0.302583;189
1;800;20;0.05;0.30502245;0.402214;190
1;800;20;0.1;0.30502245;0.402214;191
